,episode_reward,nb_episode_steps,nb_steps
0,-101.0839661649758,59,59
1,-152.890908529135,73,132
2,-130.86086467209907,61,193
3,-100.71616424605573,168,361
4,-101.45289377538795,18,379
5,-109.51518556556317,44,423
6,-100.01716610791807,147,570
7,-100.15487018130565,190,760
8,-101.69272103299767,57,817
9,-102.1948521084829,91,908
10,-100.1974355840598,93,1001
11,-101.55018601796627,176,1177
12,-199.56177293270304,17,1194
13,-100.41315947600991,173,1367
14,-101.85353965977097,59,1426
15,-101.27541665779634,60,1486
16,-100.06438385057089,68,1554
17,-101.48772777658837,85,1639
18,-147.46799125506004,70,1709
19,-102.32277890902677,14,1723
20,-101.75197244132013,21,1744
21,-199.6550888500363,13,1757
22,-110.40215862498755,26,1783
23,-100.03631289289983,147,1930
24,-101.43949306876358,22,1952
25,-100.29076799342542,88,2040
26,-100.26237600274547,72,2112
27,-102.24606795351144,173,2285
28,-100.55678972556515,124,2409
29,-100.16876555510873,75,2484
30,-103.64890731806562,16,2500
31,-197.78883979199782,19,2519
32,-100.85129185508637,13,2532
33,-126.69900483768924,50,2582
34,-103.35121353452308,14,2596
35,-107.31860044732335,24,2620
36,-110.3392977670854,29,2649
37,-111.03911406097615,27,2676
38,-197.1200638913557,15,2691
39,-100.98954813053652,191,2882
40,-199.07006323835367,18,2900
41,-107.57354145236248,27,2927
42,-101.86027732330251,26,2953
43,-199.92326090935893,22,2975
44,-100.47982685837528,87,3062
45,-101.20502073115291,159,3221
46,-100.49750469661227,188,3409
47,-119.26103463816769,37,3446
48,-151.19036520099567,69,3515
49,-100.02189766656939,118,3633
50,-102.05773319447061,180,3813
51,-132.13185161367068,57,3870
52,-100.33062510770174,124,3994
53,-198.7339446823936,20,4014
54,-192.39960921871375,11,4025
55,-100.31362337846008,82,4107
56,-104.92150199115325,22,4129
57,-103.8803443857206,17,4146
58,-100.98328121021298,174,4320
59,-100.25147448316477,58,4378
60,-115.26852589805056,32,4410
61,-139.54882505379575,78,4488
62,-173.6438679615697,94,4582
63,-109.20902152294705,23,4605
64,-111.97177220431081,35,4640
65,-101.67158672285197,71,4711
66,-103.50946005170896,25,4736
67,-109.21335594758843,26,4762
68,-101.48896585165255,33,4795
69,-100.85281774837608,120,4915
70,-101.58230377434924,55,4970
71,-104.50152658485835,20,4990
72,34.95347850176631,204,5194
73,-101.3863452556945,75,5269
74,-105.07817455840032,20,5289
75,-101.72856355242035,177,5466
76,-122.27616611018189,44,5510
77,-100.91403402115026,88,5598
78,-100.46166403441515,95,5693
79,-119.69587107403694,42,5735
80,-100.61869055106847,154,5889
81,-198.90001065460228,20,5909
82,-100.236281542433,120,6029
83,-109.02937137674202,41,6070
84,-100.56404589159465,95,6165
85,-101.22579106145807,178,6343
86,-101.11079468526133,184,6527
87,-100.47449842389709,186,6713
88,-103.01467275317896,111,6824
89,-102.22639546106596,19,6843
90,-106.56761505601793,29,6872
91,-100.01609634116406,163,7035
92,-134.0750212840219,65,7100
93,-135.7084860209599,54,7154
94,-104.13835883234391,20,7174
95,-138.68673521442622,55,7229
96,-100.12792517332372,167,7396
97,-100.11377789973565,203,7599
98,-118.85330082800661,35,7634
99,-138.56457196304058,66,7700
100,-110.9447857577169,34,7734
101,-100.0245704818127,196,7930
102,-100.2271798997098,202,8132
103,-100.29617066495389,199,8331
104,-197.4857996291263,14,8345
105,-101.3059678210137,220,8565
106,113.12238534752191,126,8691
107,-100.55404850113038,217,8908
108,-112.31973679361855,26,8934
109,-101.98212331373638,176,9110
110,-197.09704117388765,14,9124
111,-113.87984587402015,29,9153
112,-154.80741259133228,58,9211
113,-100.00084815259395,201,9412
114,-130.9330065612106,58,9470
115,-119.60943644756345,49,9519
116,-100.14039475526128,23,9542
117,-100.81190616902197,18,9560
118,-110.5505061084337,38,9598
119,-101.02808032441564,192,9790
120,28.916070373639073,209,9999
121,-103.7498184144634,19,10018
122,-117.05575770772083,31,10049
123,-121.04249840804735,34,10083
124,-102.5175545008303,18,10101
125,-120.57864775704421,37,10138
126,-125.73893367636957,42,10180
127,-106.10307842985735,30,10210
128,-197.08086029674172,20,10230
129,-199.8294421214324,15,10245
130,40.67313373610868,197,10442
131,-197.89641219955644,21,10463
132,-132.03647470827553,58,10521
133,-107.87529563122236,26,10547
134,-100.80469539531092,89,10636
135,-116.37279308355525,45,10681
136,-117.8818598140787,35,10716
137,-102.16678084044352,12,10728
138,-101.29958911213306,210,10938
139,-100.20369685505636,153,11091
140,-100.03215298523476,149,11240
141,-199.6888971371956,15,11255
142,-199.9225945155551,16,11271
143,-116.03149749518101,30,11301
144,-101.91632404581662,203,11504
145,-104.86957136933711,18,11522
146,-117.34044470067688,33,11555
147,-100.27039500790102,43,11598
148,-196.68238867504664,19,11617
149,-112.89549285698068,32,11649
150,-104.82615628571642,25,11674
151,34.94039226057359,105,11779
152,-100.68297165714448,224,12003
153,-101.70349152218428,26,12029
154,-198.35557844776662,17,12046
155,58.90201529459032,179,12225
156,-103.86571313699653,103,12328
157,-100.22722997650081,235,12563
158,-102.9345283566101,23,12586
159,-100.51097106824002,213,12799
160,-195.90444786668854,15,12814
161,-101.3972100375031,193,13007
162,-100.72728650138518,220,13227
163,-101.21021335019594,15,13242
164,-102.67542233815817,219,13461
165,-196.86641858049194,17,13478
166,-103.33538060735215,20,13498
167,-163.82070607668743,81,13579
168,-110.65045693273926,28,13607
169,-110.82542032264018,99,13706
170,-134.1448263190824,70,13776
171,-119.4217483854471,36,13812
172,-100.96172010550873,20,13832
173,-107.54702379052509,26,13858
174,-114.07328059825349,28,13886
175,-102.19584824234423,215,14101
176,-100.06522720923775,126,14227
177,-100.43369670572979,215,14442
178,-132.11954206776258,55,14497
179,-104.71068196342905,20,14517
180,-100.34889243092114,20,14537
181,-129.72370515870688,49,14586
182,-196.9638205954215,19,14605
183,-121.8943626056468,50,14655
184,-104.56498790656737,24,14679
185,-115.56759127047114,31,14710
186,-110.55322538467556,38,14748
187,-100.14572696469412,205,14953
188,-102.07077606321579,14,14967
189,-100.33565583622493,227,15194
190,-100.29858651603126,16,15210
191,-100.04046467857609,221,15431
192,-100.33200394405138,158,15589
193,-109.86987908886401,30,15619
194,-103.57777808775957,18,15637
195,-129.8678393650675,45,15682
196,-194.54053416628528,16,15698
197,-104.42019691027441,25,15723
198,-160.28849539326598,65,15788
199,-100.42851755637287,16,15804
200,-105.57448815836044,23,15827
201,-100.10402376568503,14,15841
202,-100.05442980313255,206,16047
203,-103.79115901768212,20,16067
204,-100.57609161695727,213,16280
205,-102.13606859911948,12,16292
206,-110.33281375371544,42,16334
207,-106.46068886794747,38,16372
208,-100.12261346110067,217,16589
209,-111.75711670446833,38,16627
210,-100.83780453227267,216,16843
211,-100.19059937996872,207,17050
212,-100.09121449555344,232,17282
213,-109.11741198133105,24,17306
214,-108.17421297536544,23,17329
215,-100.52903781050568,207,17536
216,-105.56901596951155,22,17558
217,-105.56425118592753,35,17593
218,-120.9294908734616,46,17639
219,-101.69914983653688,206,17845
220,-100.8633164260999,207,18052
221,-100.62394103098677,231,18283
222,10.868465572619527,228,18511
223,-199.8886773744732,19,18530
224,-100.84502952779673,227,18757
225,-100.51586962065025,233,18990
226,-100.02330688092155,204,19194
227,-100.66440649950417,170,19364
228,-101.85408915662082,223,19587
229,-106.22319390782829,23,19610
230,-198.62086861623138,21,19631
231,-100.13271766241812,225,19856
232,-106.63136931473291,21,19877
233,113.98684266962351,124,20001
234,-138.52019537144923,54,20055
235,-129.320008613086,41,20096
236,-103.25634533792574,17,20113
237,-100.11020616573104,19,20132
238,-100.20924002968536,221,20353
239,-103.2964235057097,15,20368
240,-101.38904859452273,17,20385
241,-103.30931269281686,19,20404
242,-198.11311669485175,16,20420
243,-196.95928610079255,12,20432
244,-100.92100350946937,20,20452
245,-113.57481027289077,29,20481
246,-196.16964890896935,11,20492
247,-102.78134160306253,16,20508
248,68.1326378834919,171,20679
249,-103.97071530165549,19,20698
250,-100.15433354668991,32,20730
251,-103.70124727824887,16,20746
252,-100.6132444548386,222,20968
253,-103.94909663627796,18,20986
254,-103.4174228784496,24,21010
255,110.15089847898598,127,21137
256,-113.55477609431125,26,21163
257,-199.17194640697903,18,21181
258,-107.07877963900569,19,21200
259,118.41244649931853,118,21318
260,-100.74710368467132,11,21329
261,-101.00526178014613,22,21351
262,-196.72449390452527,12,21363
263,-197.40563999584677,19,21382
264,-101.39488776263781,11,21393
265,-106.08208074211811,19,21412
266,-102.59796222217247,20,21432
267,-109.68800331426917,23,21455
268,-109.92363521914457,25,21480
269,66.04653756232057,173,21653
270,-107.74410058074614,22,21675
271,-100.36732039485248,173,21848
272,-100.34491196335622,219,22067
273,79.04883883916277,160,22227
274,-100.18296724603844,229,22456
275,-101.3097020024972,216,22672
276,-102.49378943276419,232,22904
277,-109.1174747798478,27,22931
278,29.17435461321287,210,23141
