,episode_reward,nb_episode_steps,nb_steps
0,-2437.7441192181814,56,56
1,-135.38301848006208,17,73
2,-2434.8909690879773,71,144
3,-205.01146107229312,20,164
4,-201.03041503437737,25,189
5,-2330.3120349894057,53,242
6,-237.54547788155065,18,260
7,-186.3115844789524,26,286
8,-661.2594283056349,38,324
9,-242.49528526759818,22,346
10,-187.63825002819448,19,365
11,-137.03492648675453,15,380
12,-426.3235628823189,32,412
13,-1722.194504249211,44,456
14,-293.117042360671,26,482
15,-2821.225718758212,57,539
16,-4892.222965352876,138,677
17,-2088.317556973982,42,719
18,-1254.417335198077,98,817
19,-123.41173405369983,13,830
20,-5899.30600177112,97,927
21,-329.48546583589354,26,953
22,-535.0564762702293,40,993
23,-1479.528080627606,112,1105
24,-125.97171839179009,24,1129
25,-1572.555469086586,39,1168
26,-426.7517994323129,34,1202
27,-157.5229950279738,17,1219
28,-2670.635090732831,61,1280
29,-196.84164435059398,27,1307
30,-600.4306820067006,39,1346
31,-3090.3701028938735,120,1466
32,-1373.3680998244984,93,1559
33,-157.59737722913707,22,1581
34,-1669.2077474728776,46,1627
35,-1741.494863230923,85,1712
36,-104.73196501667226,20,1732
37,-1707.9189635837936,73,1805
38,-270.0106166312973,28,1833
39,-257.1689314692768,27,1860
40,-240.94099210990746,25,1885
41,-1973.7649351958455,101,1986
42,-980.6364462304982,102,2088
43,-2512.1212969577327,56,2144
44,-218.93673058963088,23,2167
45,68.21146120999671,49,2216
46,-1884.4171184348995,44,2260
47,-1493.0878309057732,66,2326
48,-1589.1942046553277,42,2368
49,-104.02841321163558,13,2381
50,-229.85192554743168,21,2402
51,-64.66413827177269,21,2423
52,524.4986099255875,34,2457
53,1286.20849454733,45,2502
54,-1114.4296204045047,84,2586
55,-2298.1871283090213,52,2638
56,-132.05465272804335,17,2655
57,-1832.7545407232076,48,2703
58,-135.2802595014973,20,2723
59,-295.2073858311231,23,2746
60,-1505.6383804124562,41,2787
61,-175.01625409835952,23,2810
62,-2146.20802647025,71,2881
63,-575.250051272939,79,2960
64,-3450.62855995288,124,3084
65,-626.6295203901702,157,3241
66,-114.2289044357749,18,3259
67,-68.00967161273411,17,3276
68,-890.1093228195114,198,3474
69,205.4678995246329,37,3511
70,-378.9146592356176,25,3536
71,-4777.269305723731,248,3784
72,332.55110553019864,35,3819
73,69.85770620727695,22,3841
74,-3520.2279961059376,118,3959
75,-2480.9822677734473,248,4207
76,-5454.948502155098,124,4331
77,-5403.485932348694,102,4433
78,-6553.076777497344,123,4556
79,-5378.38243085813,108,4664
80,-3184.61182289367,101,4765
81,248.83002424906653,37,4802
82,2183.3158482323356,153,4955
83,241.32074363515324,38,4993
84,345.37626179871194,53,5046
85,4562.6669388452565,142,5188
86,507.55089068384234,45,5233
87,344.8074962056524,35,5268
88,252.4471668001156,36,5304
89,213.96304720739278,40,5344
90,82.90272864080782,24,5368
91,55.40377716567167,22,5390
92,-669.4948541792254,91,5481
93,6027.934807883534,122,5603
94,394.3797362518278,49,5652
95,251.35369511263366,47,5699
96,150.8333069654728,43,5742
97,509.214618842484,41,5783
98,242.5482154176379,41,5824
99,438.6076119341674,37,5861
100,327.4708171409653,41,5902
101,640.2867530237053,61,5963
102,-1985.6165843723775,125,6088
103,356.94564185725363,35,6123
104,667.7806546985244,57,6180
105,-1423.9096904738471,121,6301
106,651.8025669735296,34,6335
107,516.223308284499,36,6371
108,622.3657058574223,45,6416
109,599.1878152364156,48,6464
110,564.0822010177682,42,6506
111,481.6754740201894,58,6564
112,722.8913349622634,44,6608
113,598.5223821338209,33,6641
114,729.9398850594614,55,6696
115,583.780884126215,43,6739
116,302.055568571207,44,6783
117,450.9814684003072,49,6832
118,434.32970821003823,34,6866
119,-69.77851334994176,57,6923
120,263.73598501728804,59,6982
121,437.54903227041484,40,7022
122,-237.35579397374556,54,7076
123,521.899357774734,65,7141
124,408.23944503385735,41,7182
125,239.192398831393,45,7366
126,3206.4521969731454,140,7506
127,292.74812852039815,44,7550
128,994.175894671615,43,7593
129,467.6063216304518,36,7629
130,2890.9630828406125,155,7784
131,465.98617634063885,34,7818
132,382.09352425936623,43,7861
133,9.76293320971142,54,7915
134,453.182405589772,43,7958
135,526.8791919016519,35,7993
136,482.72529218535726,36,8029
137,-90.33415860404415,14,8043
138,-182.85899179779756,61,8104
139,322.76025033413373,38,8142
140,7.84559861051747,49,8191
141,-506.2526052870347,58,8249
142,5562.678908343768,110,8359
143,446.40184901890177,33,8392
144,19.716531285230744,61,8453
145,861.3611975177648,42,8495
146,2986.201629706193,160,8655
147,326.1163457960349,154,8809
148,600.7307030211134,60,8869
149,-7646.924374181701,255,9124
150,-332.6449714839464,55,9179
151,273.67021861563285,62,9241
152,417.1753472663536,47,9288
153,464.36719256595563,47,9335
154,211.40762192380043,53,9388
155,214.87760279656783,53,9441
156,6315.016167692638,161,9602
157,3723.49606236993,199,9801
158,5094.537358655021,180,9981
159,-8561.959402704571,255,10236
160,132.8735443764616,59,10295
161,5405.139552735532,111,10406
162,310.0110223917818,63,10469
163,541.5005984652493,41,10510
164,-2505.1133569413914,105,10615
165,485.25442568799474,52,10667
