,episode_reward,nb_episode_steps,nb_steps
0,-101.11720689763726,59,59
1,-160.40073344819783,82,141
2,-124.73176420223687,60,201
3,-110.04467245227771,24,225
4,-100.54458927944312,121,346
5,-199.68522178403913,16,362
6,-108.33215257572292,25,387
7,-101.67757899358145,57,444
8,-108.02759355985106,22,466
9,-134.59185548946863,56,522
10,-100.06519756889658,130,652
11,-102.67435979876441,56,708
12,-100.50692864830071,66,774
13,-126.78628323414968,41,815
14,-196.88518541442807,11,826
15,-114.51902980499179,28,854
16,-100.85959185119951,123,977
17,-100.07794510465817,48,1025
18,-100.95220384069918,90,1115
19,-100.79230514931464,95,1210
20,-199.7324697056145,20,1230
21,-111.52784044976218,28,1258
22,-100.51705674519306,94,1352
23,-100.05644738638537,61,1413
24,-100.47025126885532,132,1545
25,-100.44029065755424,64,1609
26,-100.4904389123819,81,1690
27,-107.39579580195894,28,1718
28,-101.92099057730798,96,1814
29,-108.1500458946945,24,1838
30,-101.6741922094487,66,1904
31,-102.23829038921309,70,1974
32,-100.29525521627076,91,2065
33,-100.59583520281456,81,2146
34,-101.7766155580655,17,2163
35,-113.14871585860179,28,2191
36,-102.07200008865627,61,2252
37,-102.37132032652244,58,2310
38,-100.64826240555425,76,2386
39,-100.17213649997038,67,2453
40,-149.86799930785492,64,2517
41,-123.73226215116843,47,2564
42,-107.23987268166958,22,2586
43,-198.25333435504402,16,2602
44,-100.55460565089095,71,2673
45,-114.42078870903018,36,2709
46,-152.4973406580699,67,2776
47,-103.27553884702934,16,2792
48,-101.48879700141131,60,2852
49,-104.4767995012026,206,3058
50,-100.75619076436377,79,3137
51,-104.54533945193846,18,3155
52,-102.87905688923489,25,3180
53,-100.4447543745676,152,3332
54,-102.36464902281796,82,3414
55,-108.4227266944608,23,3437
56,-150.01086814373588,67,3504
57,-100.27043200327415,120,3624
