;episode_reward;episode_reward;decimal;nb_episode_steps;nb_steps
;;;;;
0;-5195;-5195,623337430742;6,23337E+11;94;94
;;;;;
1;-1928;-1928,5653732054973;5,65373E+12;66;160
;;;;;
2;-660;-660,6227022348479;6,22702E+12;44;204
;;;;;
3;-3717;-3717,130131021676;1,30131E+11;90;294
;;;;;
4;-1604;-1604,3821363256773;3,82136E+12;57;351
;;;;;
5;-2291;-2291,8334409993886;8,33441E+12;74;425
;;;;;
6;-4960;-4960,503589173916;5,03589E+11;99;524
;;;;;
7;-7112;-7112,712032159474;7,12032E+11;123;647
;;;;;
8;-6632;-6632,5156281342815;5,15628E+12;120;767
;;;;;
9;-3951;-3951,7429378073853;7,42938E+12;91;858
;;;;;
10;-5028;-5028,9911634122345;9,91163E+12;105;963
;;;;;
11;-73;-73,95786355398184;9,57864E+13;30;993
;;;;;
12;-881;-881,1647351309994;1,64735E+12;51;1114
;;;;;
13;-5155;-5155,943684875552;9,43685E+11;101;1215
;;;;;
14;-159;-159,85685154482303;8,56852E+13;30;1245
;;;;;
15;-1844;-1844,5241248527066;5,24125E+12;67;1312
;;;;;
16;-5035;-5035,535927057303;5,35927E+11;98;1410
;;;;;
17;-151;-151,48218850786375;4,82189E+13;30;1440
;;;;;
18;-458;-458,29148764461627;2,91488E+13;36;1476
;;;;;
19;-340;-340,8589852730854;8,58985E+12;34;1510
;;;;;
20;-4956;-4956,113362218549;1,13362E+11;98;1608
;;;;;
21;-5052;-5052,682753855248;6,82754E+11;100;1708
;;;;;
22;-5131;-5131,2404473871775;2,40447E+12;102;1810
;;;;;
23;-2977;-2977,1681796945572;1,6818E+12;81;1891
;;;;;
24;-5061;-5061,408389185915;4,08389E+11;100;1991
;;;;;
25;-5170;-5170,955519250696;9,55519E+11;105;2096
;;;;;
26;-4914;-4914,510421055334;5,10421E+11;101;2197
;;;;;
27;-225;-225,62869167917552;6,28692E+13;32;2229
;;;;;
28;-5070;-5070,89513424718;89513424718;101;2330
;;;;;
29;-503;-503,4058753744869;4,05875E+12;38;2368
;;;;;
30;-2486;-2486,9501079671313;9,50108E+12;71;2439
;;;;;
31;-3167;-3167,915682889;915682889;80;2519
;;;;;
32;-2702;-2702,278505347296;2,78505E+11;78;2597
;;;;;
33;-5077;-5077,123087668759;1,23088E+11;101;2698
;;;;;
34;-1800;-1800,6150803392352;6,1508E+12;64;2762
;;;;;
35;-809;-809,8480236667302;8,48024E+12;47;2809
;;;;;
36;-5112;-5112,969247916229;9,69248E+11;102;2911
;;;;;
37;-391;-391,6002524342989;6,00252E+12;29;2940
;;;;;
38;-977;-977,8388959858648;8,38896E+12;44;2984
;;;;;
39;-221;-221,7234570360271;7,23457E+12;32;3016
;;;;;
40;-116;-116,67434393257585;6,74344E+13;12;3028
;;;;;
41;-148;-148,43353164906156;4,33532E+13;14;3042
;;;;;
42;-128;-128,69417118799666;6,94171E+13;12;3054
;;;;;
43;-179;-179,7390342597592;7,39034E+12;16;3070
;;;;;
44;-141;-141,13619966661068;1,362E+13;13;3083
;;;;;
45;-112;-112,8872649303566;8,87265E+12;10;3093
;;;;;
46;-113;-113,99225717954471;9,92257E+13;12;3105
;;;;;
47;-92;-92,94363314298559;9,43633E+13;11;3116
;;;;;
48;-92;-92,92327599047942;9,23276E+13;11;3127
;;;;;
49;-1505;-1505,7931341428214;7,93134E+12;58;3185
;;;;;
50;-112;-112,65685852203279;6,56859E+13;12;3197
;;;;;
51;-437;-437,7807836900391;7,80784E+12;34;3231
;;;;;
52;-110;-110,640787367434;6,40787E+11;9;3240
;;;;;
53;-96;-96,281928765784;2,81929E+11;10;3250
;;;;;
54;-962;-962,6137766061902;6,13777E+12;52;3302
;;;;;
55;-435;-435,707109721693;7,0711E+11;30;3332
;;;;;
56;-560;-560,54269511502;54269511502;40;3372
;;;;;
57;-120;-120,67702862002022;6,77029E+13;12;3384
;;;;;
58;-360;-360,98926396428135;9,89264E+13;29;3413
;;;;;
59;-112;-112,90287778069529;9,02878E+13;10;3423
;;;;;
60;-241;-241,30941126870778;3,09411E+13;27;3450
;;;;;
61;-171;-171,51468402616774;5,14684E+13;16;3466
;;;;;
62;-115;-115,7133675882917;7,13368E+12;12;3478
;;;;;
63;-119;-119,93044777415813;9,30448E+13;10;3488
;;;;;
64;-107;-107,63789083910928;6,37891E+13;11;3499
;;;;;
65;-110;-110,7369392802727;7,36939E+12;10;3509
;;;;;
66;-132;-132,12990095556216;1,29901E+13;14;3523
;;;;;
67;-112;-112,91960792278525;9,19608E+13;10;3533
;;;;;
68;-124;-124,51242202492278;5,12422E+13;11;3544
;;;;;
69;-101;-101,43590350850141;4,35904E+13;11;3555
;;;;;
70;-99;-99,51942779998598;5,19428E+13;12;3567
;;;;;
71;-108;-108,24493973696713;2,4494E+13;11;3578
;;;;;
72;-112;-112,89519439786264;8,95194E+13;10;3588
;;;;;
73;-127;-127,372260676124;3,72261E+11;13;3601
;;;;;
74;-98;-98,41754274585358;4,17543E+13;10;3611
;;;;;
