número evaluacion;episode_reward;nb_episode_steps;nb_steps
0;-2437,7880279186;56;56
;,;;
1;-1163,285201708961;53;109
;,;;
2;-583,921884652078;36;145
;,;;
3;-1266,1078688206799;67;212
;,;;
4;-1745,2656752043201;63;275
;,;;
5;-187,50006824266157;16;291
;,;;
6;-165,84461065287357;19;310
;,;;
7;-139,64806081109342;20;330
;,;;
8;-125,62458745595555;15;345
;,;;
9;-150,4612496203266;19;364
;,;;
10;-493,7004768788908;41;405
;,;;
11;-1744,9362701168816;44;449
;,;;
12;-293,45303426788564;26;475
;,;;
13;-2962,4125499766747;62;537
;,;;
14;-340,2277370818136;27;564
;,;;
15;-3021,427617864255;112;676
;,;;
16;-2326,684037527279;64;740
;,;;
17;-2134,5587340307534;54;794
;,;;
18;-3679,1959783395737;78;872
;,;;
19;-115,498773167698;11;883
;,;;
20;-545,3404094738232;45;928
;,;;
21;-1316,113118976894;54;982
;,;;
22;-644,3965963286148;30;1012
;,;;
23;-5040,3905832668115;113;1125
;,;;
24;-3081,7114924885773;125;1250
;,;;
25;-2422,1939830065157;61;1311
;,;;
26;-2956,4402330070156;57;1368
;,;;
27;-2213,366119933854;56;1424
;,;;
28;-2394,6291043079946;54;1478
;,;;
29;-355,592022793089;42;1520
;,;;
30;-3796,49520126486;201;1721
;,;;
31;-1719,7382701492995;47;1768
;,;;
32;-404,5193339524646;46;1814
;,;;
33;-3075,4736113142353;69;1883
;,;;
34;-7264,435034011219;103;1986
;,;;
35;-2324,9926813226266;65;2051
;,;;
36;-213,6686265293817;30;2081
;,;;
37;-2767,7606845052755;58;2139
;,;;
38;-558,6176190879975;45;2184
;,;;
39;-408,1386892037218;39;2223
;,;;
40;-177,5360334966618;17;2240
;,;;
41;-1971,829268002778;69;2309
;,;;
42;-893,5167939578919;44;2353
;,;;
43;-166,85645285108936;17;2370
;,;;
44;-2758,761777625639;66;2436
;,;;
45;-589,5504364014669;43;2479
;,;;
46;-2579,745649167351;57;2536
;,;;
47;-3495,1287038329774;81;2617
;,;;
48;-2334,152079228047;49;2666
;,;;
49;-629,3284807304561;37;2703
;,;;
50;-2615,3524941410215;65;2768
;,;;
51;-652,6965369853601;45;2813
;,;;
52;-2423,985511953336;64;2877
;,;;
53;-261,11147382253364;29;2906
;,;;
54;-2417,599849049522;65;2971
;,;;
55;-2604,886085894026;68;3039
;,;;
56;-4399,498823514683;121;3160
;,;;
57;-119,63229190039664;17;3177
;,;;
58;49,97261392508102;72;3249
;,;;
59;-4744,856638650981;182;3431
;,;;
60;-695,8501960193137;53;3484
;,;;
61;-10898,221674729417;164;3648
;,;;
62;-8733,128458006702;149;3797
;,;;
63;-92,30194587737626;17;3814
;,;;
64;-242,85032171838046;25;3839
;,;;
65;-14339,768608650716;216;4055
;,;;
66;-1425,5462404523873;64;4119
;,;;
67;-814,2992748208692;67;4186
;,;;
68;447,45948389307966;86;4272
;,;;
69;-818,3615298736795;57;4329
;,;;
70;-2836,3586980253403;75;4404
;,;;
71;-163,2641098456465;20;4424
;,;;
72;-1472,1749913516207;163;4587
;,;;
73;-432,9271555285929;46;4811
;,;;
74;-238,375422831522;25;4836
;,;;
75;-944,4351965953649;61;4897
;,;;
76;-2214,455369737401;76;4973
;,;;
77;-11044,342725520792;201;5174
;,;;
78;-108,88744283591745;9;5183
;,;;
79;-192,69053544431333;29;5212
;,;;
80;-153,5230055435359;20;5232
;,;;
81;-273,61281648245966;37;5269
;,;;
82;-2018,7517426681227;79;5348
;,;;
83;468,6648350787507;66;5414
;,;;
84;-194,4163884023949;24;5438
;,;;
85;-7601,844743558479;241;5679
;,;;
86;-308,9378395137911;39;5718
;,;;
87;-514,2617498602629;44;5762
;,;;
88;-188,35348530067222;17;5779
;,;;
89;-102,45114641391996;13;5792
;,;;
90;189,75365612137557;58;5850
;,;;
91;-96,85406580632304;10;5860
;,;;
92;-103,28968470884212;19;5879
;,;;
93;-83,17053174699979;15;5894
;,;;
94;-688,629046970509;52;5946
;,;;
95;-474,2900081127121;49;5995
;,;;
96;-115,98114546253277;11;6006
;,;;
97;-136,33320589774792;18;6024
;,;;
98;-459,4144815089299;43;6067
;,;;
99;-387,3745247691393;46;6113
;,;;
