,episode_reward,nb_episode_steps,nb_steps
0,-100.44311264301344,56,56
1,-176.75397238049732,75,131
2,-102.59831823369217,100,231
3,-115.38200651648104,32,263
4,-102.67217565772309,128,391
5,-100.06980618713318,20,411
6,-100.74527979560173,45,456
7,-143.18999833938835,45,501
8,-100.72056966824415,71,572
9,-107.31349711034055,26,598
10,-100.72303161589768,169,767
11,-100.39094890426364,44,811
12,-101.97165032833942,13,824
13,-116.8872662054879,30,854
14,-153.23338301533755,51,905
15,-113.73428532201044,26,931
16,-102.93650684820929,71,1002
17,-100.7913913700134,103,1105
18,-137.739884959385,43,1148
19,-104.40091840984192,15,1163
20,-110.56140019904996,19,1182
21,-109.20138717967778,16,1198
22,-152.05080272974098,59,1257
23,-100.3595060310436,93,1350
24,-169.75586803772916,49,1399
25,-100.47893003911238,112,1511
26,-104.06217336091154,19,1530
27,-123.5499073300061,38,1568
28,-100.01210855459503,67,1635
29,-125.1229571083962,34,1669
30,-100.55442698775123,88,1757
31,-109.58479540573543,22,1779
32,-100.50946975368676,100,1879
33,-100.97266818527417,57,1936
34,-100.75681064661377,65,2001
35,-100.32995985832878,94,2095
36,-130.21596693496872,35,2130
37,-105.88142368884252,24,2154
38,-104.72758504904881,17,2171
39,-100.24575881280627,54,2225
40,-101.97301058326869,67,2292
41,-110.78724556064932,21,2313
42,-100.05737140451433,67,2380
43,-101.23245973529963,72,2452
44,-100.00568999815343,89,2541
45,-108.53473149994423,18,2559
46,-111.25871807242899,25,2584
47,-112.38929088276697,24,2608
48,-100.53992711074861,78,2686
49,-164.65929062658913,65,2751
50,-111.29896445472083,18,2769
51,-113.85053471503159,25,2794
52,-100.64834105570682,54,2848
53,-100.02636516983637,101,2949
54,-101.3538699222289,91,3040
55,-145.92615419378131,53,3093
56,-179.4948963168267,69,3162
57,-101.86804123277629,77,3239
58,-107.46470129252025,22,3261
59,-103.35890169900804,12,3273
60,-100.06962957844388,61,3334
61,-111.10246656485887,24,3358
62,-103.30928955374705,57,3415
63,-101.80234367176115,62,3477
64,-109.975554185785,24,3501
65,-102.90513191862033,102,3603
66,-140.8305223245515,41,3644
67,-198.2544422986746,12,3656
68,-114.11300522953,21,3677
69,-119.50654678577212,31,3708
70,-114.7302021968217,25,3733
71,-100.21989114400368,61,3794
72,-100.1984720519553,55,3849
73,-101.81047924192238,67,3916
74,-199.0408966413413,12,3928
75,-100.2592952716383,171,4099
76,-114.74585145673896,24,4123
77,-141.29947498860727,47,4170
78,-106.62176539881207,21,4191
79,-110.92449375696462,24,4215
80,-102.90075504818415,63,4278
81,-100.94383351436032,54,4332
82,-134.5736195875171,37,4369
83,-105.26762210886334,17,4386
84,-100.51375899141728,68,4454
85,-108.28401844813341,21,4475
86,-100.44394346683185,75,4550
87,-103.20550056889766,185,4735
88,-196.6832739311277,11,4746
89,-104.08890731461227,162,4908
90,-155.7300013457849,54,4962
91,-195.3751793206929,16,4978
92,33.37251409466636,173,5151
93,-151.89678782891315,62,5213
94,-110.96231220691585,21,5234
95,-102.2032576951652,13,5247
96,-107.4347566297869,27,5274
97,-143.44299409952293,42,5316
98,-103.14699470330086,139,5455
99,-196.33079680093658,10,5465
100,-109.40944077393198,17,5482
101,-100.0491158059116,70,5552
102,-100.41469845038439,116,5668
103,-112.6090241310341,24,5692
104,-100.33505613594485,65,5757
105,-100.81158449803743,13,5770
106,-102.65954319914601,109,5879
107,-199.44860861002883,87,5966
108,-101.18944113308486,185,6151
109,-106.63182202190453,19,6170
110,-104.37138383619232,17,6187
111,-100.33473009598403,12,6199
112,-102.89807349167688,132,6331
113,-100.7077185252704,121,6452
114,-102.87167721800422,17,6469
115,-101.07737170813938,91,6560
116,-101.6069470729435,61,6621
117,-115.89691801609264,27,6648
118,-103.83650665617233,14,6662
119,-178.98004601276506,68,6730
120,-101.12617063711883,83,6813
121,-109.36641531315735,28,6841
122,-107.1260900615172,18,6859
