2021-05-26 00:27:16,140 INFO    MainThread:19168 [wandb_setup.py:_flush():69] setting env: {}
2021-05-26 00:27:16,141 INFO    MainThread:19168 [wandb_setup.py:_flush():69] setting login settings: {'anonymous': 'allow'}
2021-05-26 00:27:16,141 INFO    MainThread:19168 [wandb_init.py:_log_setup():336] Logging user logs to C:\Users\robertorg\Documentos\UPM\TFG\Aplicacion\wandb\run-20210526_002716-3ggdqzie\logs\debug.log
2021-05-26 00:27:16,141 INFO    MainThread:19168 [wandb_init.py:_log_setup():337] Logging internal logs to C:\Users\robertorg\Documentos\UPM\TFG\Aplicacion\wandb\run-20210526_002716-3ggdqzie\logs\debug-internal.log
2021-05-26 00:27:16,141 INFO    MainThread:19168 [wandb_init.py:_jupyter_setup():287] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001E6962595C8>
2021-05-26 00:27:16,148 INFO    MainThread:19168 [wandb_init.py:init():369] calling init triggers
2021-05-26 00:27:16,148 INFO    MainThread:19168 [wandb_init.py:init():376] wandb.init called with sweep_config: {}
config: {}
2021-05-26 00:27:16,148 INFO    MainThread:19168 [wandb_init.py:init():418] starting backend
2021-05-26 00:27:16,148 INFO    MainThread:19168 [backend.py:_multiprocessing_setup():72] multiprocessing start_methods=spawn, using: spawn
2021-05-26 00:27:16,153 INFO    MainThread:19168 [backend.py:ensure_launched():132] starting backend process...
2021-05-26 00:27:16,208 INFO    MainThread:19168 [backend.py:ensure_launched():137] started backend process with pid: 19460
2021-05-26 00:27:16,208 INFO    MainThread:19168 [wandb_init.py:init():423] backend started and connected
2021-05-26 00:27:16,209 INFO    MainThread:19168 [wandb_init.py:init():465] updated telemetry
2021-05-26 00:27:16,209 INFO    MainThread:19168 [wandb_init.py:init():484] communicating current version
2021-05-26 00:27:17,101 INFO    MainThread:19168 [wandb_init.py:init():489] got version response 
2021-05-26 00:27:17,101 INFO    MainThread:19168 [wandb_init.py:init():497] communicating run to backend with 30 second timeout
2021-05-26 00:27:17,340 INFO    MainThread:19168 [wandb_init.py:init():522] starting run threads in backend
2021-05-26 00:27:21,462 INFO    MainThread:19168 [wandb_run.py:_console_start():1565] atexit reg
2021-05-26 00:27:21,462 INFO    MainThread:19168 [wandb_run.py:_redirect():1412] redirect: SettingsConsole.WRAP
2021-05-26 00:27:21,463 INFO    MainThread:19168 [wandb_run.py:_redirect():1455] Wrapping output streams.
2021-05-26 00:27:21,463 INFO    MainThread:19168 [wandb_run.py:_redirect():1479] Redirects installed.
2021-05-26 00:27:21,463 INFO    MainThread:19168 [wandb_init.py:init():546] run started, returning control to user process
2021-05-26 00:27:44,860 INFO    MainThread:19168 [wandb_init.py:_pause_backend():249] pausing backend
2021-05-26 00:27:44,860 INFO    MainThread:19168 [jupyter.py:save_ipynb():265] not saving jupyter notebook
